Property,Value,Unit,Description
category,metal,,
subcategory,alloy,,
name,Zirconium,,
youngsModulus,99.0,GPa,
oxidationResistance,773.0,K,
density,6.52,g/cm³,
hardness,200.0,HV,
corrosionResistance,500000.0,Ω·cm²,
compressiveStrength,380.0,MPa,
flexuralStrength,380.0,MPa,
tensileStrength,380.0,MPa,
fractureToughness,55.0,MPa√m,
porosity,0.0,fraction,
electricalResistivity,4.2e-07,Ω·m,
absorptivity,0.35,dimensionless,
boilingPoint,4682.0,K,
absorptionCoefficient,5000000.0,m⁻¹,
electricalConductivity,2380000.0,S/m,
meltingPoint,2125.0,K,
vaporPressure,0.5,Pa,
thermalDestructionPoint,2128,K,
reflectivity,0.65,dimensionless,
thermalShockResistance,1.8,MW/m,
surfaceRoughness,0.8,μm,
laserDamageThreshold,4.5,J/cm²,
thermalDestruction,2128.0,K,
specificHeat,278.0,J/(kg·K),
laserReflectivity,0.92,dimensionless,
thermalConductivity,22.7,W/m·K,
thermalExpansion,5.8e-06,K^{-1},
laserAbsorption,0.38,dimensionless,
thermalDiffusivity,1.217e-05,m²/s,
ablationThreshold,1.2,J/cm²,
power,50-500,W,"Typical range for pulsed fiber lasers cleaning reflective metals like zirconium; starting at 150 W balances efficiency and avoids overheating due to Zr's high reflectivity (~90% at 1064 nm). Max safe before damage ~500 W based on thermal conductivity (21 W/mK). Source: IPG Photonics specs and studies on metal decontamination (e.g., J. Laser Appl. 2018)."
wavelength,355-10640,nm,Near-IR wavelength optimized for Zirconium's moderate absorption and thermal processing
spotSize,0.1-500,μm,Optimal beam diameter for balancing cleaning efficiency and processing speed
repetitionRate,1-200,kHz,High repetition rate for efficient surface coverage while maintaining thermal control
pulseWidth,0.1-1000,ns,Nanosecond pulse duration for efficient oxide layer ablation with minimal heat affected zone
scanSpeed,10-5000,mm/s,Scanning speed providing effective oxide removal with controlled thermal input
passCount,1-10,passes,Number of cleaning passes for thorough oxide removal with minimal substrate impact
overlapRatio,10-90,%,Beam overlap percentage ensuring complete surface coverage without excessive thermal buildup
