Property,Value,Unit,Description
category,masonry,,
subcategory,concrete,,
name,Terracotta,,
youngsModulus,15.0,GPa,
oxidationResistance,0.96,"dimensionless (scale 0-1, 1=excellent resistance)",
density,2100.0,kg/m³,
hardness,2.5,Mohs,
corrosionResistance,0.92,dimensionless (normalized resistance index),
compressiveStrength,14.5,MPa,
flexuralStrength,7.5,MPa,
tensileStrength,3.5,MPa,
fractureToughness,1.2,MPa m^{1/2},
laserDamageThreshold,3,J/cm²,
absorptivity,0.75,dimensionless,
absorptionCoefficient,500000,m⁻¹,
thermalShockResistance,1.5,MW/m,
reflectivity,0.25,dimensionless,
thermalDestructionPoint,1473,K,
vaporPressure,0.01,Pa,
thermalDestruction,923.0,K,
specificHeat,880.0,J/(kg·K),
laserReflectivity,0.24,,
thermalConductivity,0.93,W/m·K,
thermalExpansion,6.5e-06,K^{-1},
laserAbsorption,0.72,dimensionless,
thermalDiffusivity,4.08e-07,m²/s,
ablationThreshold,1.45,J/cm²,
power,20-200,W,"Typical range for delicate ceramics like terracotta to avoid thermal damage; starting at 50W for light contamination removal. Max safe ~200W to prevent cracking. Source: Studies on Nd:YAG laser cleaning of archaeological ceramics (e.g., Verges-Belmin et al., 2008, J. Cult. Herit.)."
wavelength,355-10640,nm,Near-infrared wavelength optimized for Terracotta absorption and minimal substrate damage
spotSize,0.1-500,μm,Beam spot diameter for precise cleaning control and adequate energy density
repetitionRate,1-200,kHz,Optimal repetition rate for efficient cleaning coverage and thermal management
pulseWidth,0.1-1000,ns,Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration
scanSpeed,10-5000,mm/s,Optimal scanning speed for uniform cleaning and process efficiency
passCount,1-10,passes,Recommended number of cleaning passes for complete contaminant removal
overlapRatio,10-90,%,Optimal beam overlap for uniform cleaning coverage without excessive thermal buildup
