Property,Value,Unit,Description
category,rare-earth,,
subcategory,lanthanide,,
name,Europium,,
density,5.264,g/cm³,
oxidationResistance,-2.41,V,
youngsModulus,18.0,GPa,
hardness,0.22,GPa,
boilingPoint,1802.0,K,
absorptivity,0.72,dimensionless,
thermalDestruction,1099.0,K,
laserReflectivity,0.43,dimensionless (fraction),
thermalExpansion,3.52e-05,K^{-1},
thermalConductivity,13.9,W/m·K,
specificHeat,145.0,J/(kg·K),
ablationThreshold,2.1,J/cm²,
absorptionCoefficient,420000.0,cm^{-1},
laserDamageThreshold,2.3,J/cm²,
thermalDiffusivity,1.465e-05,m²/s,
power,10-100,W,"Typical average power for pulsed laser cleaning of soft metals like Europium to avoid melting (mp 826°C); conservative range due to low thermal conductivity (~14 W/m·K); recommended starting low to test. Source: General manufacturer specs (e.g., Coherent cleaning systems for metals, 10-200 W range); limited specific Europium data, adapted from Al cleaning studies (Opt. Lasers Eng., 2018)."
wavelength,355-10640,nm,Green wavelength for optimal Europium absorption
spotSize,0.1-500,μm,Beam spot diameter for precise cleaning
repetitionRate,1-200,kHz,Optimal repetition rate for efficient cleaning
pulseWidth,0.1-1000,ns,Nanosecond pulse width for controlled ablation
scanSpeed,10-5000,mm/s,Optimal scanning speed for uniform cleaning
passCount,1-10,passes,Number of cleaning passes required
overlapRatio,10-90,%,Optimal beam overlap for complete coverage
