Property,Value,Unit,Description
category,metal,,
subcategory,non-ferrous,,
name,Niobium,,
electricalConductivity,6802721.088435374,S/m,
electricalResistivity,1.52e-07,Ω·m,
fractureToughness,59.0,MPa√m,
surfaceRoughness,0.4,μm,
youngsModulus,105.0,GPa,
oxidationResistance,573.0,K,
density,8.57,g/cm³,
hardness,60.0,HV,
corrosionResistance,0.005,mm/year,
compressiveStrength,240.0,MPa,
flexuralStrength,310.0,MPa,
tensileStrength,275.0,MPa,
porosity,0.0,%,
absorptivity,0.38,dimensionless,
boilingPoint,4912.0,K,
absorptionCoefficient,4200000.0,m⁻¹,
meltingPoint,2741.0,K,
vaporPressure,0.00133,Pa,
thermalDestructionPoint,2741.0,K,
reflectivity,0.58,dimensionless (ratio),
thermalShockResistance,380.0,W/m,
laserDamageThreshold,0.45,J/cm²,
thermalDestruction,2750.0,K,
specificHeat,265.0,J/(kg·K),
laserReflectivity,0.7,dimensionless,
thermalConductivity,53.7,W/m·K,
thermalExpansion,7.1e-06,K^{-1},
laserAbsorption,0.28,dimensionless,
thermalDiffusivity,2.364e-05,m²/s,
ablationThreshold,1.05,J/cm²,
power,50-500,W,"Typical range for 1064 nm pulsed lasers in metal cleaning to avoid thermal damage; Niobium's high reflectivity (~70% at 1064 nm) requires moderate power to prevent overheating. Recommended starting at 150 W for light contamination. Source: IPG Photonics YLR series specs and study in J. Laser Appl. 32, 022057 (2020)."
wavelength,355-10640,nm,Near-IR wavelength optimized for Niobium's absorption characteristics and oxide layer removal
spotSize,0.1-500,μm,Beam spot diameter for precise oxide removal with adequate cleaning efficiency
repetitionRate,1-200,kHz,Optimal repetition rate for continuous cleaning coverage with thermal management
pulseWidth,0.1-1000,ns,Nanosecond pulse duration for efficient oxide ablation with minimal thermal penetration
scanSpeed,10-5000,mm/s,Optimal scanning speed for uniform oxide removal and process efficiency
passCount,1-10,passes,Recommended number of passes for complete oxide removal
overlapRatio,10-90,%,Optimal beam overlap for uniform cleaning without excessive heat accumulation
