Property,Value
Name,Degraded Polymer Deposits
Description,"Degraded Polymer Deposits (Polyethylene, Polypropylene, PVC, Additives) is a common contamination pattern in laser cleaning. This organic-residue/polymer contamination affects surface integrity and requires specialized removal techniques. Commonly found on 22 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Polyethylene', 'Polypropylene', 'PVC', 'Additives']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.08, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.05}"
Total Compounds,12
Compound 1,Benzene
Compound 2,Polycyclic Aromatic Hydrocarbons
Compound 3,Hydrogen Cyanide
Compound 4,Acetaldehyde
Compound 5,Acrolein
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 5, 'optimal_passes': 3, 'single_pass': 0.7}"
Variable Measured Count,59
