Property,Value
Name,Wax Coating Buildup
Description,"Wax Coating Buildup (C₂₅H₅₂, Esters, Fatty Acids) is a common contamination pattern in laser cleaning. This organic-residue/wax contamination affects surface integrity and requires specialized removal techniques. Commonly found on 27 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['C₂₅H₅₂', 'Esters', 'Fatty Acids']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_532nm': 2800}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Carbon Particulates
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 5000, 'min': 500, 'recommended': 2000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
