Property,Value
Name,Cadmium Plating Removal
Description,"Cadmium Plating Removal (Cd, Cd Alloys) is a common contamination pattern in laser cleaning. This metallic-coating/plating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Cd', 'Cd Alloys']"
absorptionRate,"{'wavelength_1064nm': 85000, 'wavelength_355nm': 320000, 'wavelength_532nm': 150000}"
reflectivity,"{'wavelength_1064nm': 0.65, 'wavelength_355nm': 0.28, 'wavelength_532nm': 0.45}"
Total Compounds,1
Compound 1,Cadmium Oxide
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [532, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 4, 'optimal_passes': 3, 'single_pass': 0.85}"
Variable Measured Count,48
