Property,Value
Name,Graffiti and Spray Paint
Description,"Graffiti and Spray Paint (Acrylic, Enamel, Solvents, Pigments) is a common contamination pattern in laser cleaning. This inorganic-coating/paint contamination affects surface integrity and requires specialized removal techniques. Commonly found on 26 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Acrylic', 'Enamel', 'Solvents', 'Pigments']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 45000, 'wavelength_532nm': 22000}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.05, 'wavelength_532nm': 0.08}"
Total Compounds,5
Compound 1,Toluene
Compound 2,Carbon Dioxide
Compound 3,Volatile Organic Compounds
Compound 4,Water Vapor
Compound 5,Carbon Particulates
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 30}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,52
