Property,Value
Name,Heavy Machinery Grease
Description,"Heavy Machinery Grease (Mineral Oil, Lithium Soap, PTFE) is a common contamination pattern in laser cleaning. This organic-residue/petroleum contamination affects surface integrity and requires specialized removal techniques. Commonly found on 4 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Mineral Oil', 'Lithium Soap', 'PTFE']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.12, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Volatile Organic Compounds
Compound 3,Water Vapor
Compound 4,Carbon Ash
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 50, 'recommended_ns': 100}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
