Property,Value
Name,Bronze Patina and Corrosion
Description,"Bronze Patina and Corrosion (Cu₂O, CuO, Copper Salts) is a common contamination pattern in laser cleaning. This oxidation/non-ferrous contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Cu₂O', 'CuO', 'Copper Salts']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 45000, 'wavelength_532nm': 22000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Copper Oxide
Compound 3,Tin Oxide
Compound 4,Metal Vapors (Mixed)
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 4, 'optimal_passes': 3, 'single_pass': 0.7}"
Variable Measured Count,51
