Property,Value
Name,Fertilizer Salt Deposits
Description,"Fertilizer Salt Deposits (KNO₃, NH₄NO₃, Phosphates) is a common contamination pattern in laser cleaning. This chemical-residue/industrial contamination affects surface integrity and requires specialized removal techniques. Commonly found on 25 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['KNO₃', 'NH₄NO₃', 'Phosphates']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 2800, 'wavelength_532nm': 450}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.18}"
Total Compounds,3
Compound 1,Nitrogen Oxides
Compound 2,Water Vapor
Compound 3,Metal Oxides (Mixed)
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [532, 1064]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 3000, 'min': 500, 'recommended': 1500}"
spotSize,"{'max': 0.15, 'min': 0.03, 'recommended': 0.08}"
frequency,"{'max': 300, 'min': 20, 'recommended': 100}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
