Property,Value
Name,Industrial Oil / Grease Buildup
Description,Industrial Oil / Grease Buildup is a common contamination pattern in laser cleaning. This organic-residue/petroleum contamination affects surface integrity and requires specialized removal techniques.
Category,
Subcategory,
absorptionRate,"{'wavelength_1064nm': 1200, 'wavelength_355nm': 28000, 'wavelength_532nm': 4500}"
reflectivity,"{'wavelength_1064nm': 0.05, 'wavelength_355nm': 0.02, 'wavelength_532nm': 0.03}"
Total Compounds,8
Compound 1,Carbon Monoxide
Compound 2,Benzene
Compound 3,Acrolein
Compound 4,Sulfur Dioxide
Compound 5,Carbon Dioxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,55
