Property,Value
Name,Forging Mill Scale
Description,"Forging Mill Scale (Fe₃O₄, FeO) is a common contamination pattern in laser cleaning. This thermal-damage/scale contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Fe₃O₄', 'FeO']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 45000, 'wavelength_532nm': 22000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,2
Compound 1,Iron Oxide Fume
Compound 2,Carbon Dioxide
laserPower,"{'max_j_cm2': 3.5, 'min_j_cm2': 1.5, 'recommended_j_cm2': 2.0}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 100}"
scanSpeed,"{'max': 5000, 'min': 1000, 'recommended': 2000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,49
