Property,Value
Name,Mineral Scale / Hard Water Deposits
Description,"Mineral Scale / Hard Water Deposits is a common contamination pattern in laser cleaning. This thermal-damage/scale contamination affects surface integrity and requires specialized removal techniques. Commonly found on 39 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
absorptionRate,"{'wavelength_1064nm': 15.2, 'wavelength_355nm': 185.3, 'wavelength_532nm': 42.8}"
reflectivity,"{'wavelength_1064nm': 0.12, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,2
Compound 1,Carbon Dioxide
Compound 2,Calcium Oxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,49
