Property,Value
Name,Soap Scum Buildup
Description,"Soap Scum Buildup (Calcium Stearate, Mg Stearate, Surfactants) is a common contamination pattern in laser cleaning. This organic-residue/cleaning-agent contamination affects surface integrity and requires specialized removal techniques. Commonly found on 15 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Calcium Stearate', 'Mg Stearate', 'Surfactants']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 2800, 'wavelength_532nm': 450}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.05, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Carbon Particulates
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,51
