Property,Value
Name,Semiconductor Processing Residue
Description,"Semiconductor Processing Residue (SiO₂, Si₃N₄, Photoresist, Metal Films) is a common contamination pattern in laser cleaning. This chemical-residue/industrial contamination affects surface integrity and requires specialized removal techniques. Commonly found on 7 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['SiO₂', 'Si₃N₄', 'Photoresist', 'Metal Films']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 185000, 'wavelength_532nm': 42000}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Nanoparticulates
Compound 4,Organic Residues
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 4, 'recommended_ns': 10}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
