Property,Value
Name,Battery Leakage Corrosion
Description,"Battery Leakage Corrosion (KOH, K₂CO₃, PbSO₄) is a common contamination pattern in laser cleaning. This oxidation/battery contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['KOH', 'K₂CO₃', 'PbSO₄']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_532nm': 12500}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,1
Compound 1,Zinc Oxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 4, 'optimal_passes': 3, 'single_pass': 0.65}"
Variable Measured Count,47
