Property,Value
Name,Carbon Deposit Buildup
Description,"Carbon Deposit Buildup (C, PAH, Soot) is a common contamination pattern in laser cleaning. This organic-residue/other contamination affects surface integrity and requires specialized removal techniques. Commonly found on 9 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['C', 'PAH', 'Soot']"
absorptionRate,"{'wavelength_1064nm': 85000, 'wavelength_355nm': 180000, 'wavelength_532nm': 120000}"
reflectivity,"{'wavelength_1064nm': 0.05, 'wavelength_355nm': 0.02, 'wavelength_532nm': 0.03}"
Total Compounds,5
Compound 1,Carbon Monoxide
Compound 2,Polycyclic Aromatic Hydrocarbons
Compound 3,Carbon Dioxide
Compound 4,Benzo[a]pyrene
Compound 5,Carbon Particulates
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 100}"
scanSpeed,"{'max': 5000, 'min': 500, 'recommended': 2000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,52
