Property,Value
Name,Mineral Staining
Description,"Mineral Staining (Fe₂O₃, MnO₂, CuO) is a common contamination pattern in laser cleaning. This inorganic-coating/mineral contamination affects surface integrity and requires specialized removal techniques. Commonly found on 11 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Fe₂O₃', 'MnO₂', 'CuO']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.25, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.15}"
Total Compounds,4
Compound 1,Iron Oxide Fume
Compound 2,Carbon Dioxide
Compound 3,Water Vapor
Compound 4,Silicon Dioxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,50
