Property,Value
Name,Quenching Oil Residue
Description,"Quenching Oil Residue (Carbonized Oil, PAH, Additives) is a common contamination pattern in laser cleaning. This thermal-damage/scale contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Carbonized Oil', 'PAH', 'Additives']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.12, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,6
Compound 1,Carbon Monoxide
Compound 2,Acrolein
Compound 3,Carbon Dioxide
Compound 4,Volatile Organic Compounds
Compound 5,Water Vapor
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [532, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,53
