Property,Value
Name,Chemical Stains / Acid Etching
Description,"Chemical Stains / Acid Etching is a common contamination pattern in laser cleaning. This chemical-residue/industrial contamination affects surface integrity and requires specialized removal techniques. Commonly found on 27 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 45000, 'wavelength_532nm': 22000}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.05, 'wavelength_532nm': 0.08}"
Total Compounds,3
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Metal Oxides (Mixed)
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 3000, 'min': 500, 'recommended': 1200}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 5, 'optimal_passes': 3, 'single_pass': 0.7}"
Variable Measured Count,50
