Property,Value
Name,Brass Coating Removal
Description,"Brass Coating Removal (Cu-Zn Alloy, Brass) is a common contamination pattern in laser cleaning. This metallic-coating/plating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 1 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Cu-Zn Alloy', 'Brass']"
absorptionRate,"{'wavelength_1064nm': '1.2e5', 'wavelength_355nm': '8.5e5', 'wavelength_532nm': '3.8e5'}"
reflectivity,"{'wavelength_1064nm': 0.85, 'wavelength_355nm': 0.35, 'wavelength_532nm': 0.55}"
Total Compounds,3
Compound 1,Zinc Oxide
Compound 2,Copper Oxide
Compound 3,Metal Vapors (Mixed)
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [532, 1064]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,50
