Property,Value
Name,Biological Blood Residue
Description,"Biological Blood Residue (Hemoglobin, Proteins, Lipids) is a common contamination pattern in laser cleaning. This biological/deposit contamination affects surface integrity and requires specialized removal techniques. Commonly found on 15 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Hemoglobin', 'Proteins', 'Lipids']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 3200, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,5
Compound 1,Nitrogen Oxides
Compound 2,Ammonia
Compound 3,Carbon Dioxide
Compound 4,Water Vapor
Compound 5,Carbon Ash
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.6}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 150, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 5, 'optimal_passes': 3, 'single_pass': 0.75}"
Variable Measured Count,52
