Property,Value
Name,Salt and Chloride Deposits
Description,"Salt and Chloride Deposits (NaCl, MgCl₂, CaCl₂) is a common contamination pattern in laser cleaning. This inorganic-coating/mineral contamination affects surface integrity and requires specialized removal techniques. Commonly found on 25 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['NaCl', 'MgCl₂', 'CaCl₂']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.05, 'wavelength_532nm': 0.08}"
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,46
