Property,Value
Name,Brake Pad Dust Deposits
Description,"Brake Pad Dust Deposits (Fe, Cu, Ceramic Fibers, Graphite) is a common contamination pattern in laser cleaning. This inorganic-coating/mineral contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Fe', 'Cu', 'Ceramic Fibers', 'Graphite']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,4
Compound 1,Iron Oxide Fume
Compound 2,Carbon Ash
Compound 3,Organic Residues
Compound 4,Copper Oxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.4, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 100}"
scanSpeed,"{'max': 3000, 'min': 500, 'recommended': 1500}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 300, 'min': 20, 'recommended': 100}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
