Property,Value
Name,Anodizing Layer Irregularities
Description,"Anodizing Layer Irregularities (Al₂O₃, Dye Molecules, Sealed Pores) is a common contamination pattern in laser cleaning. This metallic-coating/anodizing contamination affects surface integrity and requires specialized removal techniques. Commonly found on 1 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Al₂O₃', 'Dye Molecules', 'Sealed Pores']"
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 185000, 'wavelength_532nm': 42000}"
reflectivity,"{'wavelength_1064nm': 0.65, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.25}"
Total Compounds,1
Compound 1,Aluminum Oxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.4, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [355, 532]}"
pulseWidth,"{'max_ns': 50, 'min_ns': 5, 'recommended_ns': 10}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,48
