Property,Value
Name,Paint Primer Layers
Description,"Paint Primer Layers (Zinc Dust, Epoxy Resin, Pigments) is a common contamination pattern in laser cleaning. This inorganic-coating/paint contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Zinc Dust', 'Epoxy Resin', 'Pigments']"
absorptionRate,"{'wavelength_1064nm': 800, 'wavelength_355nm': 28000, 'wavelength_532nm': 4500}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Volatile Organic Compounds
Compound 3,Water Vapor
Compound 4,Carbon Particulates
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.7}"
Variable Measured Count,51
