Property,Value
Name,Beryllium Oxide Contamination
Description,"Beryllium Oxide Contamination (BeO, Be Compounds) is a common contamination pattern in laser cleaning. This chemical-residue/hazardous contamination affects surface integrity and requires specialized removal techniques. Commonly found on 1 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['BeO', 'Be Compounds']"
absorptionRate,"{'wavelength_1064nm': 150, 'wavelength_355nm': 3200, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.45, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.25}"
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 5, 'optimal_passes': 3, 'single_pass': 0.85}"
Variable Measured Count,47
