Property,Value
Name,Diamond-Like Carbon Removal
Description,"Diamond-Like Carbon Removal (Amorphous Carbon, Diamond) is a common contamination pattern in laser cleaning. This inorganic-coating/coating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Amorphous Carbon', 'Diamond']"
absorptionRate,"{'wavelength_1064nm': 80000, 'wavelength_355nm': 450000, 'wavelength_532nm': 150000}"
reflectivity,"{'wavelength_1064nm': 0.25, 'wavelength_355nm': 0.12, 'wavelength_532nm': 0.18}"
Total Compounds,3
Compound 1,Carbon Monoxide
Compound 2,Carbon Dioxide
Compound 3,Carbon Particulates
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.4, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 355]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 4, 'recommended_ns': 10}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 300, 'min': 20, 'recommended': 100}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
