Property,Value
Name,Medical Disinfectant Residue
Description,"Medical Disinfectant Residue (NaOCl, Quats, Phenolics) is a common contamination pattern in laser cleaning. This chemical-residue/industrial contamination affects surface integrity and requires specialized removal techniques. Commonly found on 15 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['NaOCl', 'Quats', 'Phenolics']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 2800, 'wavelength_532nm': 450}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,3
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Organic Residues
laserPower,"{'max_j_cm2': 0.45, 'min_j_cm2': 0.15, 'recommended_j_cm2': 0.3}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 5, 'recommended_ns': 20}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 100}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
