Property,Value
Name,Copper Patina / Verdigris
Description,"Copper Patina / Verdigris is a common contamination pattern in laser cleaning. This oxidation/non-ferrous contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,3
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Copper Oxide
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.4, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [532, 355]}"
pulseWidth,"{'max_ns': 20, 'min_ns': 4, 'recommended_ns': 8}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.08, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,50
