Property,Value
Name,Acid Pickling Stains
Description,"Acid Pickling Stains (FeCl₂, H₂SO₄, Iron Salts) is a common contamination pattern in laser cleaning. This inorganic-coating/coating contamination affects surface integrity and requires specialized removal techniques. Commonly found on 2 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['FeCl₂', 'H₂SO₄', 'Iron Salts']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,4
Compound 1,Iron Oxide Fume
Compound 2,Carbon Dioxide
Compound 3,Water Vapor
Compound 4,Metal Oxides (Mixed)
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
