Property,Value
Name,Anti-Seize Compound
Description,"Anti-Seize Compound (Copper, Graphite, Aluminum, Grease) is a common contamination pattern in laser cleaning. This organic-residue/lubricant contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Copper', 'Graphite', 'Aluminum', 'Grease']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.02, 'wavelength_532nm': 0.08}"
Total Compounds,5
Compound 1,Carbon Dioxide
Compound 2,Volatile Organic Compounds
Compound 3,Water Vapor
Compound 4,Carbon Ash
Compound 5,Metal Oxides (Mixed)
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.7}"
wavelength,"{'value': [355, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 4, 'recommended_ns': 20}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,52
