Property,Value
Name,Pharmaceutical Drug Residue
Description,"Pharmaceutical Drug Residue (APIs, Excipients, Coatings) is a common contamination pattern in laser cleaning. This chemical-residue/industrial contamination affects surface integrity and requires specialized removal techniques. Commonly found on 8 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['APIs', 'Excipients', 'Coatings']"
absorptionRate,"{'wavelength_1064nm': 120, 'wavelength_355nm': 3200, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.04, 'wavelength_532nm': 0.08}"
Total Compounds,4
Compound 1,Nitrogen Oxides
Compound 2,Carbon Dioxide
Compound 3,Water Vapor
Compound 4,Carbon Ash
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.6}"
wavelength,"{'value': [355, 532]}"
pulseWidth,"{'max_ns': 50, 'min_ns': 5, 'recommended_ns': 15}"
scanSpeed,"{'max': 3000, 'min': 500, 'recommended': 1500}"
spotSize,"{'max': 0.1, 'min': 0.02, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 10, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 4, 'optimal_passes': 3, 'single_pass': 0.85}"
Variable Measured Count,51
