Property,Value
Name,Rust / Iron Oxide Formation
Description,"Rust / Iron Oxide Formation (Fe₂O₃) is a common contamination pattern in laser cleaning. This oxidation/ferrous contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,['Fe₂O₃']
absorptionRate,"{'wavelength_1064nm': 8500, 'wavelength_355nm': 185000, 'wavelength_532nm': 42000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.07, 'wavelength_532nm': 0.18}"
Total Compounds,2
Compound 1,Iron Oxide Fume
Compound 2,Nitrogen Oxides
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,49
