Property,Value
Name,Ceramic Glaze Deposits
Description,"Ceramic Glaze Deposits (SiO₂, Al₂O₃, Fluxes) is a common contamination pattern in laser cleaning. This inorganic-coating/ceramic contamination affects surface integrity and requires specialized removal techniques. Commonly found on 18 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['SiO₂', 'Al₂O₃', 'Fluxes']"
absorptionRate,"{'wavelength_1064nm': 1200, 'wavelength_355nm': 28000, 'wavelength_532nm': 4500}"
reflectivity,"{'wavelength_1064nm': 0.25, 'wavelength_355nm': 0.08, 'wavelength_532nm': 0.15}"
Total Compounds,1
Compound 1,Nanoparticulates
laserPower,"{'max_j_cm2': 1.5, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 200, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 6, 'optimal_passes': 4, 'single_pass': 0.3}"
Variable Measured Count,48
