Property,Value
Name,Aerospace Sealant Residue
Description,"Aerospace Sealant Residue (Polysulfide, Silicone, Additives) is a common contamination pattern in laser cleaning. This organic-residue/adhesive contamination affects surface integrity and requires specialized removal techniques. Commonly found on 4 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Polysulfide', 'Silicone', 'Additives']"
absorptionRate,"{'wavelength_1064nm': 850, 'wavelength_355nm': 18500, 'wavelength_532nm': 4200}"
reflectivity,"{'wavelength_1064nm': 0.15, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.08}"
Total Compounds,5
Compound 1,Carbon Dioxide
Compound 2,Water Vapor
Compound 3,Carbon Ash
Compound 4,Organic Residues
Compound 5,Silicon Dioxide
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 355]}"
pulseWidth,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 100}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.1, 'min': 0.03, 'recommended': 0.05}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 5, 'optimal_passes': 3, 'single_pass': 0.7}"
Variable Measured Count,52
