Property,Value
Name,Ceramic Heat Barrier Coating
Description,"Ceramic Heat Barrier Coating (ZrO₂, Y₂O₃, Al₂O₃) is a common contamination pattern in laser cleaning. This inorganic-coating/ceramic contamination affects surface integrity and requires specialized removal techniques. Commonly found on 3 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['ZrO₂', 'Y₂O₃', 'Al₂O₃']"
absorptionRate,"{'wavelength_1064nm': 1200, 'wavelength_532nm': 28000}"
reflectivity,"{'wavelength_1064nm': 0.35, 'wavelength_355nm': 0.15, 'wavelength_532nm': 0.25}"
Total Compounds,2
Compound 1,Metal Oxides (Mixed)
Compound 2,Nanoparticulates
laserPower,"{'max_j_cm2': 1.4, 'min_j_cm2': 0.8, 'recommended_j_cm2': 1.1}"
wavelength,"{'value': [1064, 532]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 6, 'optimal_passes': 4, 'single_pass': 0.3}"
Variable Measured Count,48
